Date;Fila
12/1/1994;848.147
1/1/1995;24.532
2/1/1995;74.033
3/1/1995;12.661
4/1/1995;38.167
5/1/1995;32.682
6/1/1995;83.026
7/1/1995;59.841
8/1/1995;95.467
9/1/1995;85.035
10/1/1995;737.066
11/1/1995;796.543
12/1/1995;908.251
1/1/1996;89.732
2/1/1996;28.883
3/1/1996;69.356
4/1/1996;72.214
5/1/1996;66.826
6/1/1996;19.306
7/1/1996;59.606
8/1/1996;65.562
9/1/1996;91.919
10/1/1996;746.891
11/1/1996;81.074
12/1/1996;904.855
1/1/1997;84.613
2/1/1997;97.795
3/1/1997;30.125
4/1/1997;61.476
5/1/1997;38.471
6/1/1997;97.645
7/1/1997;84.519
8/1/1997;77.828
9/1/1997;19.386
10/1/1997;775.027
11/1/1997;820.448
12/1/1997;92.101
1/1/1998;4.792
2/1/1998;73.824
3/1/1998;65.549
4/1/1998;67.521
5/1/1998;80.303
6/1/1998;64.579
7/1/1998;38.379
8/1/1998;3.531
9/1/1998;75.414
10/1/1998;800.924
11/1/1998;814.349
12/1/1998;916.841
1/1/1999;21.348
2/1/1999;11.829
3/1/1999;407.381
4/1/1999;305.176
5/1/1999;93.887
6/1/1999;78.431
7/1/1999;74.903
8/1/1999;64.157
9/1/1999;72.248
10/1/1999;806.409
11/1/1999;822.025
12/1/1999;945.113
1/1/2000;22.301
2/1/2000;42.989
3/1/2000;80.927
4/1/2000;14.425
5/1/2000;44.552
6/1/2000;10.406
7/1/2000;59.957
8/1/2000;93.704
9/1/2000;309.178
10/1/2000;831.408
11/1/2000;88.041
12/1/2000;1.024.558
1/1/2001;91.081
2/1/2001;71.717
3/1/2001;28.283
4/1/2001;2.915
5/1/2001;25.465
6/1/2001;403.955
7/1/2001;6.074
8/1/2001;95.534
9/1/2001;8.281
10/1/2001;82.686
11/1/2001;829.319
12/1/2001;930.381
1/1/2002;29.955
2/1/2002;52.075
3/1/2002;32.556
4/1/2002;5.795
5/1/2002;52.351
6/1/2002;31.896
7/1/2002;2.393
8/1/2002;16.293
9/1/2002;33.089
10/1/2002;869.002
11/1/2002;885.749
12/1/2002;1.008.003
1/1/2003;101.807
2/1/2003;38.413
3/1/2003;45.532
4/1/2003;5.062
5/1/2003;54.653
6/1/2003;10.761
7/1/2003;32.224
8/1/2003;44.682
9/1/2003;29.135
10/1/2003;865.047
11/1/2003;885.735
12/1/2003;1.035.428
1/1/2004;137.226
2/1/2004;6.159
3/1/2004;54.029
4/1/2004;67.233
5/1/2004;90.302
6/1/2004;55.045
7/1/2004;17.948
8/1/2004;402.025
9/1/2004;4.024
10/1/2004;875.262
11/1/2004;896.144
12/1/2004;1.057.263
1/1/2005;111.614
2/1/2005;17.795
3/1/2005;89.565
4/1/2005;64.776
5/1/2005;72.234
6/1/2005;95.076
7/1/2005;83.501
8/1/2005;94.862
9/1/2005;91.155
10/1/2005;897.567
11/1/2005;904.587
12/1/2005;1.082.257
1/1/2006;44.724
2/1/2006;15.196
3/1/2006;84.017
4/1/2006;75.093
5/1/2006;400.222
6/1/2006;505.244
7/1/2006;109.503
8/1/2006;115.192
9/1/2006;57.632
10/1/2006;903.738
11/1/2006;923.566
12/1/2006;103.066
1/1/2007;120.576
2/1/2007;118.399
3/1/2007;91.925
4/1/2007;558.177
5/1/2007;20.587
6/1/2007;309.676
7/1/2007;75.686
8/1/2007;141.036
9/1/2007;15.316
10/1/2007;930.068
11/1/2007;939.126
12/1/2007;1.067.528
1/1/2008;148.331
2/1/2008;82.353
3/1/2008;404.386
4/1/2008;409.944
5/1/2008;12.348
6/1/2008;39.581
7/1/2008;107.631
8/1/2008;75.665
9/1/2008;77.183
10/1/2008;909.979
11/1/2008;938.057
12/1/2008;1.094.221
1/1/2009;168.316
2/1/2009;44.202
3/1/2009;78.529
4/1/2009;81.973
5/1/2009;75.366
6/1/2009;72.387
7/1/2009;39.086
8/1/2009;57.486
9/1/2009;48.823
10/1/2009;892.977
11/1/2009;893.585
12/1/2009;1.106.844
1/1/2010;190.166
2/1/2010;10.533
3/1/2010;82.672
4/1/2010;45.324
5/1/2010;508.364
6/1/2010;43.538
7/1/2010;128.066
8/1/2010;129.014
9/1/2010;501.209
10/1/2010;889.251
11/1/2010;92.775
12/1/2010;1.143.266
1/1/2011;19.488
2/1/2011;73.753
3/1/2011;91.028
4/1/2011;93.583
5/1/2011;200.698
6/1/2011;28.204
7/1/2011;147.068
8/1/2011;135.958
9/1/2011;94.712
10/1/2011;903.566
11/1/2011;938.095
12/1/2011;1.073.312
1/1/2012;119.646
2/1/2012;33.679
3/1/2012;35.772
4/1/2012;75.566
5/1/2012;27.603
6/1/2012;41.146
7/1/2012;130.357
8/1/2012;98.601
9/1/2012;67.431
10/1/2012;903.805
11/1/2012;943.417
12/1/2012;1.052.722
1/1/2013;15.501
2/1/2013;6.734
3/1/2013;29.948
4/1/2013;10.092
5/1/2013;409.634
6/1/2013;806.957
7/1/2013;10.148
8/1/2013;81.756
9/1/2013;92.809
10/1/2013;917.871
11/1/2013;972.853
12/1/2013;1.134.732
1/1/2014;242.549
2/1/2014;128.811
3/1/2014;47.631
4/1/2014;802.867
5/1/2014;2.134
6/1/2014;1.878
7/1/2014;85.497
8/1/2014;8.194
9/1/2014;804.172
10/1/2014;923.837
11/1/2014;997.033
12/1/2014;1.093.477
1/1/2015;202.696
2/1/2015;163.788
3/1/2015;44.706
4/1/2015;97.461
5/1/2015;1.093
6/1/2015;26.495
7/1/2015;116.354
8/1/2015;105.925
9/1/2015;19.204
10/1/2015;915.959
11/1/2015;930.628
12/1/2015;1.032.203
1/1/2016;170.837
2/1/2016;66.688
3/1/2016;53.548
4/1/2016;93.254
5/1/2016;807.369
6/1/2016;40.375
7/1/2016;145.397
8/1/2016;155.159
9/1/2016;27.637
10/1/2016;914.867
11/1/2016;92.893
12/1/2016;1.127.694
1/1/2017;148.505
2/1/2017;94.901
3/1/2017;10.396
4/1/2017;8.353
5/1/2017;20.805
6/1/2017;21.532
7/1/2017;121.538
8/1/2017;89.312
9/1/2017;86.154
10/1/2017;936.137
11/1/2017;973.359
12/1/2017;1.147.212
1/1/2018;294.048
